order_id,order_number,customer_id,order_datetime,order_status,order_channel,device_type,currency_code,top_product_category,items_count,gross_amount,discount_amount,shipping_amount,tax_amount,net_amount,coupon_code,is_first_order,shipping_country_code,shipping_country,shipping_city,fulfillment_type,warehouse_id,promised_delivery_date,actual_delivery_date,delivery_status,returned_flag,return_reason,last_touch_utm_source,last_touch_utm_medium,last_touch_campaign
ORD000013138,SO-2022-0013138,CUST0004386,2022-04-20 17:08:16,delivered,web,mobile,GBP,Grocery,4,528.0,0.0,0.0,105.6,633.6,,True,GB,United Kingdom,Cardiff,home_delivery,WH-GB-01,2022-04-26,2022-04-26,delivered,False,,google,organic,retargeting
ORD000014969,SO-2022-0014969,CUST0005010,2022-05-25 15:44:34,delivered,web,mobile,GBP,Fashion,4,811.06,0.0,0.0,162.21,973.27,,True,GB,United Kingdom,Liverpool,home_delivery,WH-GB-01,2022-05-31,2022-06-01,delivered,False,,direct,none,
ORD000010845,SO-2022-0010845,CUST0003613,2022-06-05 18:10:35,delivered,web,tablet,USD,Grocery,1,65.17,13.03,7.36,4.76,64.26,VIP20,True,US,United States,Chicago,home_delivery,WH-US-02,2022-06-09,2022-06-09,delivered,False,,direct,none,
ORD000010783,SO-2022-0010783,CUST0003594,2022-06-15 14:19:17,delivered,web,mobile,EUR,Fashion,3,175.71,26.36,0.0,28.38,177.73,SPRING15,True,DE,Germany,Dresden,home_delivery,WH-DE-01,2022-06-20,2022-06-21,delivered,False,,google,cpc,brand_awareness
ORD000013183,SO-2022-0013183,CUST0004397,2022-06-15 22:12:30,delivered,web,desktop,EUR,Books,2,61.44,0.0,8.11,14.61,84.16,,True,BE,Belgium,Leuven,home_delivery,WH-BE-01,2022-06-20,2022-06-20,delivered,False,,facebook,social,new_arrivals
ORD000012710,SO-2022-0012710,CUST0004252,2022-06-28 05:58:54,delivered,web,mobile,EUR,Home,1,166.68,0.0,0.0,31.67,198.35,,True,DE,Germany,Berlin,home_delivery,WH-DE-01,2022-07-02,2022-07-02,delivered,False,,google,organic,summer_sale
ORD000013419,SO-2022-0013419,CUST0004482,2022-07-05 23:01:58,delivered,web,mobile,EUR,Home,3,769.15,76.92,0.0,152.29,844.52,WELCOME10,True,IT,Italy,Turin,home_delivery,WH-IT-01,2022-07-13,2022-07-13,delivered,False,,partner_blog,referral,app_install
ORD000009290,SO-2022-0009290,CUST0003124,2022-07-15 08:54:14,delivered,marketplace,mobile,USD,Books,1,11.71,0.0,8.0,1.58,21.29,,True,US,United States,Los Angeles,home_delivery,WH-US-01,2022-07-20,2022-07-21,delivered,False,,newsletter,email,always_on_search
ORD000010792,SO-2022-0010792,CUST0003595,2022-07-17 08:45:57,delivered,mobile_app,mobile,USD,Home,3,330.23,16.51,0.0,25.1,338.82,RETARGET5,True,US,United States,Atlanta,home_delivery,WH-US-01,2022-07-24,2022-07-24,delivered,False,,direct,none,
ORD000002224,SO-2022-0002224,CUST0000738,2022-07-18 20:49:19,delivered,web,desktop,EUR,Home,1,264.0,0.0,0.0,50.16,314.16,,True,DE,Germany,Munich,pickup_point,WH-DE-01,2022-07-24,2022-07-24,delivered,False,,tiktok,paid_social,app_install
