payment_id,order_id,customer_id,payment_attempt_no,payment_datetime,payment_status,payment_method,payment_provider,card_network,installment_count,authorized_amount,captured_amount,refunded_amount,chargeback_amount,currency_code,fraud_score,risk_decision,payment_country_code,settlement_date
PAY000014551,ORD000013138,CUST0004386,1,2022-04-20 18:26:16,captured,credit_card,Stripe,Visa,1,633.6,633.6,0.0,0.0,GBP,51.31,approve,GB,2022-04-24
PAY000016591,ORD000014969,CUST0005010,1,2022-05-25 16:38:34,captured,credit_card,Worldpay,Mastercard,1,973.27,973.27,0.0,0.0,GBP,20.63,approve,GB,2022-05-29
PAY000011996,ORD000010845,CUST0003613,1,2022-06-05 19:39:35,captured,paypal,PayPal,,1,64.26,64.26,0.0,0.0,USD,35.79,approve,US,2022-06-09
PAY000011921,ORD000010783,CUST0003594,1,2022-06-15 16:13:17,captured,google_pay,Stripe,Mastercard,1,177.73,177.73,0.0,0.0,EUR,11.74,approve,DE,2022-06-16
PAY000014602,ORD000013183,CUST0004397,2,2022-06-15 22:37:30,captured,credit_card,Worldpay,Visa,1,36.28,36.28,0.0,0.0,EUR,17.18,approve,BE,2022-06-19
PAY000014601,ORD000013183,CUST0004397,1,2022-06-15 22:39:30,captured,credit_card,Stripe,Visa,1,47.88,47.88,0.0,0.0,EUR,20.53,approve,BE,2022-06-16
PAY000014072,ORD000012710,CUST0004252,1,2022-06-28 06:11:54,captured,credit_card,Stripe,Visa,1,198.35,198.35,0.0,0.0,EUR,36.78,approve,DE,2022-06-30
PAY000014864,ORD000013419,CUST0004482,1,2022-07-05 23:03:58,captured,credit_card,Adyen,Visa,1,844.52,844.52,0.0,0.0,EUR,30.09,approve,IT,2022-07-07
PAY000010277,ORD000009290,CUST0003124,1,2022-07-15 10:13:14,captured,gift_card,Internal Wallet,,1,21.29,21.29,0.0,0.0,USD,5.01,approve,US,2022-07-17
PAY000011933,ORD000010792,CUST0003595,1,2022-07-17 10:28:57,captured,credit_card,Worldpay,Mastercard,1,338.82,338.82,0.0,0.0,USD,3.76,approve,US,2022-07-19
PAY000002467,ORD000002224,CUST0000738,1,2022-07-18 21:15:19,captured,credit_card,Worldpay,Mastercard,1,314.16,314.16,0.0,0.0,EUR,9.52,approve,DE,2022-07-20
PAY000006845,ORD000006179,CUST0002071,1,2022-07-22 18:10:19,captured,bank_transfer,GoCardless,,1,227.75,227.75,0.0,0.0,USD,3.15,approve,US,2022-07-23
PAY000011922,ORD000010784,CUST0003594,1,2022-07-23 16:02:29,failed,credit_card,Worldpay,Visa,1,732.56,0.0,0.0,0.0,EUR,11.6,approve,DE,
PAY000011923,ORD000010784,CUST0003594,2,2022-07-23 16:31:29,captured,credit_card,Stripe,Visa,2,732.56,732.56,0.0,0.0,EUR,25.97,approve,DE,2022-07-26
PAY000014330,ORD000012941,CUST0004314,1,2022-07-25 06:53:11,captured,gift_card,Internal Wallet,,1,98.78,98.78,0.0,0.0,EUR,4.09,approve,ES,2022-07-28
PAY000016592,ORD000014970,CUST0005010,1,2022-07-25 10:22:29,captured,credit_card,Stripe,Amex,1,98.2,98.2,0.0,0.0,GBP,6.26,approve,GB,2022-07-28
PAY000016593,ORD000014971,CUST0005010,1,2022-07-27 17:10:12,captured,bank_transfer,GoCardless,,1,96.0,96.0,0.0,0.0,GBP,19.13,approve,GB,2022-07-30
PAY000012260,ORD000011075,CUST0003699,2,2022-07-29 11:15:39,captured,credit_card,Worldpay,Visa,1,960.07,960.07,0.0,0.0,EUR,30.37,approve,FR,2022-07-31
PAY000012259,ORD000011075,CUST0003699,1,2022-07-29 12:32:39,captured,gift_card,Internal Wallet,,1,1968.1,1968.1,0.0,0.0,EUR,16.7,approve,FR,2022-08-02
PAY000009173,ORD000008297,CUST0002789,1,2022-08-01 06:41:53,partial_refund,credit_card,Stripe,Mastercard,1,22.55,22.55,15.52,0.0,EUR,15.27,approve,DE,2022-08-03
PAY000012261,ORD000011076,CUST0003699,1,2022-08-01 11:18:07,captured,bank_transfer,GoCardless,,1,118.34,118.34,0.0,0.0,EUR,19.71,approve,FR,2022-08-03
PAY000014865,ORD000013420,CUST0004482,1,2022-08-01 20:01:53,captured,credit_card,Adyen,Mastercard,1,186.73,186.73,0.0,0.0,EUR,16.39,approve,IT,2022-08-03
PAY000002468,ORD000002225,CUST0000738,1,2022-08-04 21:26:43,captured,credit_card,Stripe,Mastercard,1,451.78,451.78,0.0,0.0,EUR,15.39,approve,DE,2022-08-08
PAY000016594,ORD000014972,CUST0005010,1,2022-08-07 16:11:50,captured,gift_card,Internal Wallet,,1,185.14,185.14,0.0,0.0,GBP,52.07,approve,GB,2022-08-10
PAY000010973,ORD000009923,CUST0003337,1,2022-08-13 18:43:59,captured,credit_card,Worldpay,Visa,1,51.42,51.42,0.0,0.0,EUR,13.0,approve,DE,2022-08-14
PAY000005369,ORD000004843,CUST0001655,1,2022-08-17 14:50:00,captured,paypal,PayPal,,1,606.53,606.53,0.0,0.0,EUR,4.77,approve,FR,2022-08-21
PAY000012372,ORD000011180,CUST0003719,1,2022-08-23 18:54:01,captured,apple_pay,Adyen,Mastercard,1,526.64,526.64,0.0,0.0,EUR,24.75,approve,NL,2022-08-27
PAY000015261,ORD000013776,CUST0004599,1,2022-08-24 02:09:54,captured,credit_card,Adyen,Amex,1,798.44,798.44,0.0,0.0,EUR,13.39,approve,ES,2022-08-28
PAY000003056,ORD000002762,CUST0000920,1,2022-08-24 06:05:14,captured,credit_card,Worldpay,Mastercard,1,101.05,101.05,0.0,0.0,EUR,12.23,approve,NL,2022-08-28
PAY000006642,ORD000005992,CUST0002022,1,2022-08-25 00:16:09,captured,credit_card,Stripe,Mastercard,2,646.1,646.1,0.0,0.0,EUR,16.1,approve,FR,2022-08-28
PAY000006643,ORD000005992,CUST0002022,2,2022-08-25 01:38:09,captured,credit_card,Adyen,Visa,1,131.5,131.5,0.0,0.0,EUR,17.61,approve,FR,2022-08-26
