ticket_id,customer_id,order_id,ticket_created_at,first_response_at,resolved_at,ticket_channel,ticket_category,ticket_subcategory,priority,ticket_status,assigned_agent_id,csat_score,resolution_type,refund_requested_flag,refund_approved_flag,sla_breached_flag,escalated_flag,issue_summary
TCK000001032,CUST0003124,ORD000009290,2022-07-23 06:28:14,2022-07-23 10:00:14,2022-07-24 01:00:14,email,Product Quality,size issue,medium,resolved,AGT021,4.0,refund issued,False,False,False,False,Product Quality - size issue
TCK000002123,CUST0005010,ORD000014970,2022-07-26 02:57:29,2022-07-26 04:37:29,2022-07-27 06:37:29,phone,Delivery,late delivery,high,resolved,AGT021,4.0,account reset,False,False,False,False,Delivery - late delivery
TCK000000856,CUST0003594,ORD000010784,2022-08-05 22:43:29,2022-08-06 10:37:29,2022-08-08 19:37:29,chat,Technical,website performance,medium,closed,AGT020,3.0,account reset,False,False,True,False,Technical - website performance
TCK000000324,CUST0002789,ORD000008297,2022-08-18 17:49:53,2022-08-18 19:52:53,2022-08-18 22:52:53,chat,Refund & Return,wrong item returned,high,closed,AGT008,2.0,replacement sent,False,False,True,False,Refund & Return - wrong item returned
TCK000001726,CUST0004599,ORD000013776,2022-09-09 02:28:54,2022-09-09 10:20:54,2022-09-09 16:20:54,chat,Refund & Return,refund delay,medium,resolved,AGT010,4.0,no action required,False,False,False,False,Refund & Return - refund delay
TCK000000721,CUST0002219,ORD000006661,2022-09-09 18:26:47,2022-09-09 19:31:47,2022-09-10 18:31:47,email,Delivery,late delivery,high,resolved,AGT050,3.0,information provided,False,False,False,False,Delivery - late delivery
TCK000001631,CUST0000867,ORD000002576,2022-09-19 01:44:53,2022-09-19 12:30:53,2022-09-22 04:30:53,chat,Refund & Return,refund delay,medium,resolved,AGT003,2.0,information provided,False,False,True,True,Refund & Return - refund delay
TCK000001248,CUST0005217,ORD000015658,2022-09-21 10:18:40,2022-09-21 11:47:40,2022-09-22 16:47:40,chat,Technical,website performance,high,resolved,AGT019,4.0,coupon granted,False,False,False,False,Technical - website performance
TCK000000677,CUST0004482,ORD000013421,2022-09-26 07:18:14,2022-09-26 10:29:14,2022-09-27 10:29:14,chat,Product Quality,defective product,high,resolved,AGT036,2.0,account reset,False,False,True,False,Product Quality - defective product
TCK000002101,CUST0002803,ORD000008358,2022-09-28 17:36:47,2022-09-28 21:07:47,2022-09-29 16:07:47,phone,Technical,website performance,high,resolved,AGT049,5.0,no action required,False,False,True,False,Technical - website performance
TCK000000898,CUST0002071,ORD000006180,2022-10-01 07:56:13,2022-10-01 12:49:13,2022-10-03 22:49:13,email,Technical,checkout bug,medium,resolved,AGT022,3.0,account reset,False,False,False,False,Technical - checkout bug
TCK000000193,CUST0002909,ORD000008655,2022-10-15 20:18:24,2022-10-16 08:14:24,2022-10-17 21:14:24,social,Account,marketing preferences,medium,closed,AGT005,5.0,refund issued,False,False,True,False,Account - marketing preferences
TCK000000300,CUST0004277,ORD000012833,2022-11-12 13:59:06,2022-11-12 14:30:06,2022-11-12 18:30:06,phone,Refund & Return,wrong item returned,high,resolved,AGT025,3.0,coupon granted,True,True,False,True,Refund & Return - wrong item returned
TCK000000415,CUST0002012,ORD000005959,2022-11-22 14:08:39,2022-11-22 14:28:39,2022-11-22 18:28:39,chat,Payment,payment confirmation,urgent,resolved,AGT042,4.0,replacement sent,True,False,False,False,Payment - payment confirmation
TCK000001029,CUST0003173,ORD000009435,2022-11-22 20:57:55,2022-11-22 21:11:55,2022-11-23 04:11:55,email,Technical,checkout bug,urgent,resolved,AGT041,3.0,coupon granted,False,False,False,False,Technical - checkout bug
TCK000001524,CUST0005238,ORD000015727,2022-11-28 20:56:48,2022-11-28 21:55:48,2022-11-29 02:55:48,chat,Refund & Return,exchange request,medium,resolved,AGT001,4.0,account reset,False,False,False,False,Refund & Return - exchange request
TCK000000503,CUST0003011,ORD000008940,2022-12-02 03:14:18,2022-12-02 05:22:18,2022-12-03 14:22:18,web_form,Technical,website performance,medium,resolved,AGT020,4.0,coupon granted,False,False,False,False,Technical - website performance
TCK000000075,CUST0005094,ORD000015264,2022-12-16 00:02:51,2022-12-16 03:40:51,2022-12-17 08:40:51,chat,Refund & Return,refund delay,high,resolved,AGT006,3.0,information provided,True,True,True,True,Refund & Return - refund delay
TCK000000876,CUST0005379,ORD000016140,2022-12-16 04:46:35,2022-12-16 05:32:35,2022-12-16 08:32:35,phone,Payment,payment confirmation,high,closed,AGT043,5.0,technical fix deployed,True,False,False,False,Payment - payment confirmation
TCK000002275,CUST0003403,ORD000010161,2022-12-28 16:43:40,2022-12-28 21:05:40,2022-12-30 10:05:40,web_form,Refund & Return,wrong item returned,medium,closed,AGT013,3.0,no action required,False,False,False,True,Refund & Return - wrong item returned
TCK000001441,CUST0000447,ORD000001367,2023-01-03 01:08:52,2023-01-03 03:20:52,2023-01-05 12:20:52,email,Promotion,coupon not working,medium,closed,AGT047,4.0,replacement sent,False,False,False,False,Promotion - coupon not working
TCK000002396,CUST0003173,ORD000009436,2023-01-08 13:01:08,2023-01-09 08:05:08,2023-01-13 10:05:08,email,Delivery,missing package,low,resolved,AGT037,5.0,coupon granted,False,False,False,False,Delivery - missing package
TCK000001958,CUST0002093,ORD000006268,2023-01-12 21:05:24,2023-01-13 06:01:24,2023-01-14 07:01:24,chat,Refund & Return,refund delay,medium,resolved,AGT017,2.0,coupon granted,False,False,True,False,Refund & Return - refund delay
TCK000000633,CUST0001710,ORD000005013,2023-01-22 16:30:14,2023-01-23 03:59:14,2023-01-24 21:59:14,chat,Account,loyalty points,medium,resolved,AGT037,2.0,replacement sent,False,False,True,True,Account - loyalty points
TCK000002180,CUST0002064,ORD000006137,2023-02-09 00:02:04,2023-02-09 02:54:04,2023-02-10 07:54:04,email,Product Quality,missing accessory,high,resolved,AGT050,3.0,partial refund,False,False,True,False,Product Quality - missing accessory
TCK000000109,CUST0001364,ORD000004046,2023-02-09 04:11:14,2023-02-09 06:11:14,2023-02-09 19:11:14,email,Refund & Return,exchange request,high,resolved,AGT013,5.0,technical fix deployed,False,False,False,False,Refund & Return - exchange request
TCK000000705,CUST0003502,ORD000010505,2023-02-10 05:02:19,2023-02-10 13:30:19,2023-02-11 08:30:19,email,Product Quality,missing accessory,medium,closed,AGT011,3.0,partial refund,True,True,True,False,Product Quality - missing accessory
TCK000000739,CUST0002388,ORD000007153,2023-02-13 03:30:30,2023-02-13 22:49:30,2023-02-17 20:49:30,phone,Product Quality,size issue,low,resolved,AGT059,3.0,information provided,True,False,False,False,Product Quality - size issue
TCK000000751,CUST0000687,ORD000002095,2023-02-13 12:35:48,2023-02-13 15:04:48,2023-02-14 19:04:48,web_form,Payment,card declined,medium,resolved,AGT035,3.0,no action required,False,False,False,False,Payment - card declined
TCK000001105,CUST0000714,ORD000002166,2023-02-15 21:52:39,2023-02-15 22:29:39,2023-02-16 11:29:39,web_form,Refund & Return,exchange request,medium,closed,AGT048,3.0,coupon granted,False,False,False,True,Refund & Return - exchange request
TCK000000257,CUST0005185,ORD000015568,2023-02-22 18:57:35,2023-02-22 19:11:35,2023-02-24 00:11:35,chat,Delivery,missing package,high,resolved,AGT001,4.0,no action required,False,False,False,False,Delivery - missing package
TCK000001811,CUST0002208,ORD000006627,2023-02-23 20:52:35,2023-02-24 00:41:35,2023-02-25 19:41:35,chat,Refund & Return,wrong item returned,low,resolved,AGT014,4.0,no action required,False,False,False,False,Refund & Return - wrong item returned
TCK000000142,CUST0005094,ORD000015265,2023-02-27 11:40:10,2023-02-27 12:26:10,2023-02-27 20:26:10,web_form,Refund & Return,refund delay,urgent,closed,AGT024,4.0,partial refund,False,False,True,False,Refund & Return - refund delay
TCK000000470,CUST0004745,ORD000014195,2023-03-06 13:57:17,2023-03-06 18:27:17,2023-03-09 13:27:17,email,Delivery,late delivery,medium,resolved,AGT038,3.0,no action required,False,False,False,False,Delivery - late delivery
TCK000002190,CUST0004467,ORD000013365,2023-03-07 08:14:41,2023-03-07 09:08:41,2023-03-07 20:08:41,email,Refund & Return,exchange request,high,resolved,AGT031,5.0,account reset,False,False,False,True,Refund & Return - exchange request
TCK000000221,CUST0001889,ORD000005546,2023-03-08 20:58:30,2023-03-08 22:37:30,2023-03-10 01:37:30,web_form,Delivery,late delivery,high,resolved,AGT015,3.0,no action required,False,False,False,False,Delivery - late delivery
TCK000001227,CUST0000478,ORD000001469,2023-03-10 04:06:48,2023-03-10 17:44:48,2023-03-11 22:44:48,email,Delivery,missing package,low,resolved,AGT031,5.0,refund issued,False,False,False,False,Delivery - missing package
TCK000000777,CUST0001710,ORD000005014,2023-03-11 23:28:08,2023-03-12 00:21:08,2023-03-12 15:21:08,web_form,Delivery,missing package,medium,resolved,AGT053,5.0,coupon granted,False,False,False,False,Delivery - missing package
TCK000002267,CUST0000018,ORD000000056,2023-03-13 14:40:54,2023-03-13 15:43:54,2023-03-14 06:43:54,email,Refund & Return,wrong item returned,high,resolved,AGT047,3.0,information provided,True,False,False,False,Refund & Return - wrong item returned
TCK000001190,CUST0003537,ORD000010639,2023-03-17 20:58:20,2023-03-18 02:15:20,2023-03-19 00:15:20,chat,Promotion,coupon not working,medium,resolved,AGT056,5.0,account reset,False,False,False,False,Promotion - coupon not working
TCK000001009,CUST0002488,ORD000007454,2023-03-18 13:17:52,2023-03-18 13:34:52,2023-03-18 19:34:52,social,Technical,mobile app issue,urgent,resolved,AGT012,3.0,partial refund,False,False,False,True,Technical - mobile app issue
TCK000000843,CUST0001539,ORD000004506,2023-03-21 01:31:17,2023-03-21 02:43:17,2023-03-21 22:43:17,chat,Refund & Return,wrong item returned,medium,resolved,AGT019,3.0,no action required,False,False,False,False,Refund & Return - wrong item returned
TCK000002127,CUST0001473,ORD000004312,2023-03-21 04:55:26,2023-03-21 05:05:26,2023-03-22 06:05:26,email,Refund & Return,wrong item returned,high,resolved,AGT053,2.0,account reset,True,False,False,False,Refund & Return - wrong item returned
